ft,nimi,vuosi,kustantaja,kirjailija,alkukieli,tyyppi
http://seco.tkk.fi/saha3/u1475e883-e37f-455d-969a-c7e48628f683,Minun liikennekirjani ,,WSOY,"Rottböll, Grethe",swe,kuvakirjat
http://seco.tkk.fi/saha3/ud6dc9008-659b-44c4-bf1e-39ab56880f6f,Dekkaristin käsikirja,208,Omakustanne,"Kukkola, Timo",fin,tietokirjat
http://seco.tkk.fi/saha3/u05b8ff6a-0dd9-4794-bdc6-5d8e93a2a5eb,"""Omaha"" – Kissatanssija 4",2000,Jalava,"Worley, Kate",eng,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Instance_ID123175899846652,...mutta karavaani kulkee,2000,Myllylahti,"Marjomaa, Aimo",fin,romaanit
http://data.kirjasampo.fi/physicalWork_9518820228,"1, 2, 3... kuinka monta jänöä",2000,Kustannus-Mäkelä,Truus,fra,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175901906773,101 Reykjavik,2000,Otava,Hallgrímur Helgason,isl,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317590204154,1930-luvun runot,2000,Suomalaisen Kirjallisuuden Seura,"Kajava, Viljo",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175903992912,Aatamin muistiinpanot,2000,SanaSato,"Ahti, Risto",fin,runokokoelmat
http://seco.tkk.fi/saha3/u0ab05272-4f7f-46e2-b628-5362c6522af3,"Aaveaakkoset, eli, Haamuhetki kullan kallis",2000,Tammi,"Korolainen, Tuula",fin,runokokoelmat
http://seco.tkk.fi/saha3/u089c992d-4960-4599-b4a0-b15ff9d6c439,Aaveratsastaja,2000,Helsinki Media,"Brezina, Thomas",deu,romaanit
http://seco.tkk.fi/saha3/u4732bbe6-cec6-4a6d-bde0-8fbdc7313067,Aaveratsastaja,2000,Stabenfeldt,"Kavanagh, Pamela",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123272660527319,Aavetanssi,2000,Jalava,"Hiltunen, Petri",fin,sarjakuva-albumit
http://www.yso.fi/onto/kaunokki#Instance_ID123175906323587,Agatha,2000,Like,"Duras, Marguerite",fra,näytelmät
http://data.kirjasampo.fi/physicalWork_951624274X,Ah-Fu,2000,Suomen lähetysseura,"Nevill, E. Mildred",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175906866495,Ahdistetut,2000,MC-Pilot,"Määttä, Timo",fin,novellikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175907947966,Aika-ajot helvettiin,2000,Musiikki-mainos ky Juntunen,"Surkka, Timo",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175908717436,Aikamatka,2000,Otava,"Crichton, Michael",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175908856080,Aikani ohut hiekka,2000,Ilias,"Hänninen, Pirkko",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175910403274,Aivan kuin minua ei olisi,2000,Otava,"Drakulić, Slavenka",hbs,romaanit
